"Story","Title","Result","Date","Stability","Duration (s)"
"Dummy rest APICURD test","This will create a new employee","SUCCESS","2022-06-07T13:54:18.867+02:00[Europe/Paris]","0.0","4.21"
"Dummy rest APICURD test","This will Read an employee by ID","SUCCESS","2022-06-07T13:54:23.096+02:00[Europe/Paris]","0.0","1.48"
"Dummy rest APICURD test","This will Update an employee by ID","SUCCESS","2022-06-07T13:54:24.572+02:00[Europe/Paris]","0.0","1.72"
"Dummy rest APICURD test","1. Verify if total records are 24","SUCCESS","2022-06-07T13:54:27.371+02:00[Europe/Paris]","0.0","0.91"
"Dummy rest APICURD test","3. Verify if 23rd employee name is Doris Wilder","SUCCESS","2022-06-07T13:54:29.400+02:00[Europe/Paris]","0.0","0.85"
"Dummy rest APICURD test","4. Verify if message is Successfully! All records has been fetched","SUCCESS","2022-06-07T13:54:30.255+02:00[Europe/Paris]","0.0","0.85"
"Dummy rest APICURD test","5. Verify if status is success","SUCCESS","2022-06-07T13:54:31.101+02:00[Europe/Paris]","0.0","0.83"
"Dummy rest APICURD test","6. Verify 3rd id salary is 86000","SUCCESS","2022-06-07T13:54:31.932+02:00[Europe/Paris]","0.0","0.84"
